run_label,vx',vy',vz',r'',hue',gamma',m0'
Custom,-1.682 1 +  0.102 x +  8.998 y + -6.243 z + -0.108 r +  3.447 hue +  1.038 gamma + -1.682 m0 +  0.003 cos(hue) + -3.836 m0/gamma +  0.113 d12 +  18.607 1/d12^2 +  1.029 1/d12^3, 0.808 1 +  0.005 x +  0.018 y + -0.005 z +  0.039 r +  0.974 hue +  0.907 gamma +  0.808 m0 +  0.086 sin(hue) +  0.097 cos(hue) +  0.720 m0/gamma + -0.058 d12 +  0.020 1/d12^2 +  0.001 1/d12^3 + -2.971 cos(d_hue), 0.322 1 +  0.002 x +  0.007 y + -0.002 z +  0.017 r +  0.388 hue +  0.362 gamma +  0.322 m0 +  0.033 sin(hue) +  0.039 cos(hue) +  0.287 m0/gamma + -0.025 d12 +  0.008 1/d12^2 + -1.171 cos(d_hue),-202.435 1 +  16.971 x + -1.959 y + -0.571 z + -89.730 r + -243.091 hue + -226.431 gamma + -202.435 m0 +  8.920 1/r^3 +  1.037 sin(hue) +  45.589 cos(hue) + -180.981 m0/gamma +  111.584 d12 + -0.745 1/d12^2 + -0.040 1/d12^3 + -143.619 cos(d_hue), 1.775 1 +  0.031 x + -0.256 y +  0.612 z +  1.537 hue +  1.773 gamma +  1.775 m0 +  1.757 m0/gamma + -1.614 1/d12^2 + -0.095 1/d12^3,-2.015 y +  5.439 z + -0.011 hue +  0.005 m0/gamma +  2.509 1/d12^2, 0.000
Custom, 0.263 1 + -0.001 y +  0.002 z +  0.012 r +  0.321 hue +  0.295 gamma +  0.263 m0 +  0.030 sin(hue) + -0.015 cos(hue) +  0.235 m0/gamma + -0.020 d12 + -1.108 cos(d_hue), 0.155 1 +  0.004 x +  0.001 z +  0.092 r +  0.188 hue +  0.173 gamma +  0.155 m0 +  0.008 sin(hue) + -0.008 cos(hue) +  0.138 m0/gamma + -0.093 d12 + -0.574 cos(d_hue),-0.074 1 + -0.002 x + -0.049 r + -0.090 hue + -0.083 gamma + -0.074 m0 + -0.066 m0/gamma +  0.050 d12 +  0.268 cos(d_hue),-500.409 1 + -12.523 x +  0.740 y + -2.989 z + -107.564 r + -609.699 hue + -560.355 gamma + -500.413 m0 +  0.574 1/r^3 + -56.947 sin(hue) + -18.799 cos(hue) + -446.887 m0/gamma +  111.295 d12 +  1.030 1/d12^2 +  0.189 1/d12^3 +  2072.038 cos(d_hue), 1.780 1 +  0.031 x + -0.240 y + -0.459 z +  1.531 hue +  1.724 gamma +  1.780 m0 +  1.804 m0/gamma + -1.796 1/d12^2 +  0.008 cos(d_hue), 0.497 y +  0.879 z, 0.000
P_2.0_V_0.1_T_2.0_C_0.0,-5755.471 1 + -381.859 x +  121.669 y +  168.567 z + -379.187 r + -1181.422 hue +  2068.354 gamma + -5754.399 m0 + -79696.016 1/r^3 + -2989.322 sin(hue) +  560.968 cos(hue) +  14187.854 m0/gamma + -509.060 K_sync +  648.524 F_pauli_x +  2818.450 F_pauli_y +  1985.038 F_pauli_z + -5.860 F_torsion, 11433.399 1 + -43.182 x + -172.760 y +  197.016 z +  35.721 r + -3245.325 hue + -3745.087 gamma +  11431.934 m0 +  98104.266 1/r^3 +  3698.941 sin(hue) +  384.745 cos(hue) + -22047.982 m0/gamma +  139.666 K_sync +  472.178 F_pauli_x +  2665.163 F_pauli_y +  1577.278 F_pauli_z + -3.990 F_torsion,-7538.560 1 +  104.124 x +  83.377 y + -147.018 z +  61.650 r +  1200.470 hue +  2514.198 gamma + -7538.046 m0 + -14607.542 1/r^3 + -1818.302 sin(hue) + -165.803 cos(hue) +  14403.415 m0/gamma + -129.427 K_sync + -204.613 F_pauli_x +  368.969 F_pauli_y + -464.187 F_pauli_z +  0.188 F_torsion, 29481.344 1 + -408.720 x + -328.197 y +  573.549 z + -237.244 r + -4265.764 hue + -10270.324 gamma +  29478.293 m0 +  168646.453 1/r^3 +  8230.252 sin(hue) +  634.538 cos(hue) + -58792.496 m0/gamma +  394.128 K_sync + -1048.849 F_pauli_x + -1398.881 F_pauli_y + -2053.555 F_pauli_z +  3.749 F_torsion, 30.655 1 + -7.176 x +  0.607 y +  4.530 z + -6.591 r + -25.522 hue + -9.668 gamma +  30.656 m0 + -276.489 1/r^3 + -15.910 sin(hue) + -2.203 cos(hue) + -11.943 m0/gamma + -4.142 K_sync + -0.496 F_pauli_x +  2.218 F_pauli_y + -0.026 F_pauli_z,-51.733 1 +  18.418 x + -1.892 y + -11.090 z +  16.942 r +  57.781 hue +  19.293 gamma + -51.747 m0 +  1627.893 1/r^3 +  45.401 sin(hue) + -16.735 cos(hue) + -12.458 m0/gamma +  11.845 K_sync + -2.073 F_pauli_x + -41.428 F_pauli_y + -28.556 F_pauli_z +  0.091 F_torsion, 0.000
P_2.0_V_0.01_T_1.0_C_0.0,-8238.395 1 + -362.481 x +  116.353 y +  168.718 z + -354.441 r +  55.411 hue +  2017.307 gamma + -8237.963 m0 + -73439.867 1/r^3 + -395.857 sin(hue) +  1683.796 cos(hue) +  13311.164 m0/gamma + -639.446 K_sync +  639.471 F_pauli_x +  2737.876 F_pauli_y +  1890.063 F_pauli_z + -5.517 F_torsion, 16889.230 1 +  105.571 x + -239.848 y +  154.516 z +  204.554 r + -8224.022 hue + -3818.984 gamma +  16888.326 m0 +  95429.906 1/r^3 +  339.684 sin(hue) + -1459.405 cos(hue) + -23237.803 m0/gamma +  175.510 K_sync +  498.057 F_pauli_x +  2748.721 F_pauli_y +  1720.274 F_pauli_z + -4.500 F_torsion,-14306.597 1 +  117.752 x +  181.456 y + -251.852 z +  18.827 r +  6473.165 hue +  3699.415 gamma + -14305.714 m0 + -11807.949 1/r^3 + -1001.375 sin(hue) +  1052.122 cos(hue) +  21233.268 m0/gamma + -39.167 K_sync + -190.116 F_pauli_x +  331.169 F_pauli_y + -453.761 F_pauli_z +  0.200 F_torsion, 47842.863 1 + -157.696 x + -568.248 y +  621.511 z +  125.156 r + -19316.629 hue + -12366.293 gamma +  47840.059 m0 +  160426.781 1/r^3 +  2094.668 sin(hue) + -3822.263 cos(hue) + -72211.492 m0/gamma +  220.961 K_sync + -1037.702 F_pauli_x + -1215.262 F_pauli_y + -1866.063 F_pauli_z +  2.984 F_torsion, 162.286 1 + -2.637 x + -2.721 y +  4.544 z + -0.377 r + -164.519 hue + -39.227 gamma +  162.276 m0 + -89.520 1/r^3 +  12.381 sin(hue) + -15.655 cos(hue) + -226.366 m0/gamma + -12.301 K_sync + -0.723 F_pauli_x +  1.926 F_pauli_y + -0.423 F_pauli_z,-127.465 1 +  8.478 x +  0.944 y + -6.859 z +  6.140 r +  148.138 hue +  40.388 gamma + -127.455 m0 +  1370.878 1/r^3 +  5.506 sin(hue) + -13.622 cos(hue) +  172.383 m0/gamma +  19.209 K_sync + -1.617 F_pauli_x + -39.111 F_pauli_y + -25.811 F_pauli_z +  0.083 F_torsion, 0.000
P_2.0_V_0.1_T_2.0_C_0.0, 87474.445 1 + -125856.883 x +  105116.586 y +  57150.645 z + -169549.781 r +  23478.764 hue +  69302.953 gamma +  87474.742 m0 + -339492.469 sin(hue) + -172839.078 cos(hue) +  213679.141 m0/gamma +  8818.223 K_sync + -30886.109 F_pauli_x + -166935.516 F_pauli_y +  254027.344 F_pauli_z + -24238.264 F_torsion,-24867.727 1 +  34698.863 x + -29230.311 y + -15635.101 z +  46872.578 r + -6796.485 hue + -19904.334 gamma + -24867.875 m0 +  98570.297 sin(hue) +  48058.934 cos(hue) + -61595.113 m0/gamma + -2503.111 K_sync +  9021.124 F_pauli_x +  48395.336 F_pauli_y + -73733.055 F_pauli_z +  6753.031 F_torsion, 24696.904 1 + -34053.016 x +  28772.051 y +  15299.374 z + -46043.746 r +  6787.410 hue +  19807.609 gamma +  24697.045 m0 + -98663.695 sin(hue) + -47377.516 cos(hue) +  61494.406 m0/gamma +  2497.382 K_sync + -9052.063 F_pauli_x + -48412.508 F_pauli_y +  73795.266 F_pauli_z + -6814.394 F_torsion,-71886.594 1 +  103519.938 x + -86441.391 y + -47017.461 z +  139448.500 r + -19286.754 hue + -56947.410 gamma + -71886.977 m0 +  278828.125 sin(hue) +  142111.703 cos(hue) + -175531.344 m0/gamma + -7243.488 K_sync +  25362.363 F_pauli_x +  137111.688 F_pauli_y + -208636.500 F_pauli_z +  19913.408 F_torsion, 4801.883 1 + -6901.543 x +  5764.990 y +  3133.390 z + -9297.899 r +  1289.587 hue +  3805.450 gamma +  4801.908 m0 + -18648.809 sin(hue) + -9481.837 cos(hue) +  11735.079 m0/gamma +  484.171 K_sync + -1697.259 F_pauli_x + -9169.502 F_pauli_y +  13954.211 F_pauli_z + -1344.190 F_torsion,-5541.581 1 +  7968.687 x + -6655.629 y + -3618.231 z +  10735.172 r + -1487.464 hue + -4389.489 gamma + -5541.607 m0 +  21515.904 sin(hue) +  10947.505 cos(hue) + -13540.574 m0/gamma + -559.282 K_sync +  1957.936 F_pauli_x +  10579.358 F_pauli_y + -16099.375 F_pauli_z +  1549.102 F_torsion, 0.000
P_4.0_V_0.1_T_2.0_C_0.0,-13620.414 1 + -15190.493 x + -18267.943 y +  15249.514 z + -3558.545 r + -13823.560 hue +  1.067 gamma + -13620.249 m0 + -197.095 1/r^3 + -11569.570 sin(hue) + -7187.608 cos(hue) + -13575.948 m0/gamma + -11.798 K_sync + -4561.149 F_pauli_x +  6491.677 F_pauli_y + -2459.647 F_pauli_z + -40.350 F_torsion, 9232.938 1 +  10297.255 x +  12383.381 y + -10337.263 z +  2412.250 r +  9370.646 hue + -0.724 gamma +  9232.824 m0 +  133.606 1/r^3 +  7842.721 sin(hue) +  4872.299 cos(hue) +  9202.796 m0/gamma +  7.999 K_sync +  3091.889 F_pauli_x + -4400.545 F_pauli_y +  1667.333 F_pauli_z +  27.352 F_torsion, 1294.629 1 +  1443.866 x +  1736.379 y + -1449.476 z +  338.242 r +  1313.938 hue + -0.101 gamma +  1294.613 m0 +  18.734 1/r^3 +  1099.695 sin(hue) +  683.187 cos(hue) +  1290.402 m0/gamma +  1.121 K_sync +  433.540 F_pauli_x + -617.038 F_pauli_y +  233.791 F_pauli_z +  3.836 F_torsion, 14188.078 1 +  15823.623 x +  19029.285 y + -15885.075 z +  3706.833 r +  14399.693 hue + -1.110 gamma +  14187.906 m0 +  205.310 1/r^3 +  12051.761 sin(hue) +  7487.169 cos(hue) +  14141.760 m0/gamma +  12.392 K_sync +  4751.250 F_pauli_x + -6762.242 F_pauli_y +  2562.171 F_pauli_z +  50.649 F_torsion,-0.084 1 +  0.323 x +  0.254 y +  0.271 z +  0.107 r + -0.105 hue + -0.084 m0 +  0.011 1/r^3 + -0.082 sin(hue) + -0.027 cos(hue) +  5.257 m0/gamma +  0.864 F_pauli_x +  0.700 F_pauli_y +  1.862 F_pauli_z, 16281722.000 1 +  18158580.000 x +  21837342.000 y + -18229134.000 z +  4253854.500 r +  16524568.000 hue + -1274.010 gamma +  16281526.000 m0 +  235605.578 1/r^3 +  13830163.000 sin(hue) +  8592004.000 cos(hue) +  16228571.000 m0/gamma +  14108.497 K_sync +  5452358.000 F_pauli_x + -7760094.000 F_pauli_y +  2940240.750 F_pauli_z +  48234.824 F_torsion, 0.000
P_5.0_V_0.01_T_0.5_C_0.0, 2948.183 1 + -1838.566 x +  6031.101 y +  2425.779 z +  5270.605 r +  2992.122 hue + -3.289 gamma +  2948.162 m0 + -220.062 1/r^3 +  2504.279 sin(hue) +  1555.773 cos(hue) +  2890.462 m0/gamma +  99.377 K_sync + -8215.500 F_pauli_x +  5631.391 F_pauli_y +  1395.165 F_pauli_z + -19.155 F_torsion,-1811.695 1 +  1114.660 x + -3696.607 y + -1484.870 z + -3220.041 r + -1838.696 hue +  2.022 gamma + -1811.682 m0 +  134.634 1/r^3 + -1538.911 sin(hue) + -956.042 cos(hue) + -1776.225 m0/gamma + -60.017 K_sync +  5023.749 F_pauli_x + -3422.918 F_pauli_y + -848.119 F_pauli_z +  11.867 F_torsion,-1248.046 1 +  757.902 x + -2540.413 y + -1018.613 z + -2205.669 r + -1266.647 hue +  1.389 gamma + -1248.037 m0 +  92.286 1/r^3 + -1060.130 sin(hue) + -658.601 cos(hue) + -1223.619 m0/gamma + -44.104 K_sync +  3441.061 F_pauli_x + -2326.074 F_pauli_y + -565.156 F_pauli_z +  7.756 F_torsion,-11834.913 1 + -7665.359 x + -14667.664 y + -3860.675 z + -2407.961 r + -12011.379 hue +  13.216 gamma + -11834.843 m0 +  686.350 1/r^3 + -10052.992 sin(hue) + -6245.304 cos(hue) + -11592.924 m0/gamma +  37.736 K_sync +  19330.723 F_pauli_x + -10821.396 F_pauli_y +  907.533 F_pauli_z +  62.846 F_torsion,-0.023 1 + -0.100 x +  0.126 y +  0.063 z +  0.164 r + -0.025 hue + -0.023 m0 + -7.190 1/r^3 + -0.020 sin(hue) + -0.012 cos(hue) +  0.375 m0/gamma + -0.099 F_pauli_x +  0.093 F_pauli_y +  0.069 F_pauli_z, 240230.516 1 + -150285.766 x +  491737.750 y +  197860.188 z +  430062.281 r +  243810.969 hue + -267.971 gamma +  240228.859 m0 + -17904.746 1/r^3 +  204059.391 sin(hue) +  126771.086 cos(hue) +  235528.500 m0/gamma +  8122.076 K_sync + -668790.875 F_pauli_x +  457623.031 F_pauli_y +  114059.656 F_pauli_z + -1573.584 F_torsion, 0.000
P_5.0_V_0.1_T_1.0_C_0.0,-4390.683 1 + -6839.689 x + -1472.632 y +  1249.440 z +  5152.869 r + -4456.101 hue +  5.402 gamma + -4390.677 m0 +  8.852 1/r^3 + -3729.553 sin(hue) + -2316.988 cos(hue) + -4326.058 m0/gamma +  714.104 K_sync + -3160.866 F_pauli_x +  116.213 F_pauli_y +  5316.177 F_pauli_z + -5.654 F_torsion, 2624.069 1 +  4134.922 x +  859.551 y + -786.143 z + -3140.602 r +  2663.165 hue + -3.238 gamma +  2624.065 m0 + -4.455 1/r^3 +  2228.948 sin(hue) +  1384.735 cos(hue) +  2585.541 m0/gamma + -430.021 K_sync +  1932.782 F_pauli_x + -61.235 F_pauli_y + -3232.950 F_pauli_z +  3.430 F_torsion, 1915.446 1 +  2914.137 x +  676.587 y + -495.716 z + -2158.826 r +  1943.985 hue + -2.349 gamma +  1915.444 m0 + -5.342 1/r^3 +  1627.027 sin(hue) +  1010.791 cos(hue) +  1887.094 m0/gamma + -309.618 K_sync +  1319.695 F_pauli_x + -41.868 F_pauli_y + -2214.602 F_pauli_z +  2.367 F_torsion,-11342.730 1 + -6003.345 x + -8643.520 y + -6980.927 z + -1795.647 r + -11511.808 hue +  11.356 gamma + -11342.716 m0 +  531.517 1/r^3 + -9634.863 sin(hue) + -5985.571 cos(hue) + -11124.220 m0/gamma +  944.249 K_sync +  9930.012 F_pauli_x +  1319.643 F_pauli_y + -14916.922 F_pauli_z +  17.603 F_torsion, 0.088 1 + -0.224 x +  0.036 z +  0.190 r +  0.093 hue +  0.088 m0 + -9.966 1/r^3 +  0.077 sin(hue) +  0.044 cos(hue) + -1.765 m0/gamma +  0.030 K_sync +  0.023 F_pauli_x +  0.026 F_pauli_y +  0.014 F_pauli_z,-355454.469 1 + -554671.938 x + -118985.562 y +  102383.992 z +  418443.156 r + -360750.469 hue +  437.770 gamma + -355454.031 m0 +  761.531 1/r^3 + -301931.750 sin(hue) + -187575.281 cos(hue) + -350219.562 m0/gamma +  57943.199 K_sync + -254820.906 F_pauli_x +  7562.839 F_pauli_y +  428555.031 F_pauli_z + -460.135 F_torsion, 0.000
P_5.0_V_0.0_T_0.5_C_0.0, 0.000, 0.000, 0.000,-2.095 x + -0.805 y + -1.297 z +  0.871 r +  0.191 F_pauli_x + -0.074 F_pauli_y +  0.210 F_pauli_z +  12.238 F_torsion, 0.000, 0.000, 0.000
P_5.0_V_0.01_T_1.0_C_0.0, 6388.019 1 + -3809.984 x +  1639.898 y +  489.004 z +  4037.717 r +  6484.563 hue + -4.822 gamma +  6387.969 m0 + -324.486 1/r^3 +  5426.885 sin(hue) +  3369.837 cos(hue) +  5576.643 m0/gamma +  24.897 K_sync + -7418.229 F_pauli_x +  10687.463 F_pauli_y + -2348.232 F_pauli_z + -12.914 F_torsion,-3867.081 1 +  2242.239 x + -953.372 y + -270.667 z + -2364.889 r + -3925.530 hue +  2.920 gamma + -3867.050 m0 +  195.486 1/r^3 + -3285.246 sin(hue) + -2039.977 cos(hue) + -3374.033 m0/gamma + -14.545 K_sync +  4405.096 F_pauli_x + -6468.999 F_pauli_y +  1452.941 F_pauli_z +  6.613 F_torsion,-2658.911 1 +  1649.828 x + -721.824 y + -227.747 z + -1759.458 r + -2699.088 hue +  2.007 gamma + -2658.889 m0 +  134.859 1/r^3 + -2258.850 sin(hue) + -1402.646 cos(hue) + -2324.479 m0/gamma + -11.047 K_sync +  3105.199 F_pauli_x + -4476.488 F_pauli_y +  918.882 F_pauli_z +  5.836 F_torsion,-18096.514 1 +  3131.188 x +  250.116 y +  1598.989 z + -1868.879 r + -18369.914 hue +  13.476 gamma + -18096.377 m0 +  762.013 1/r^3 + -15373.682 sin(hue) + -9546.450 cos(hue) + -15864.053 m0/gamma +  7.369 K_sync +  16737.152 F_pauli_x + -16480.449 F_pauli_y +  5390.334 F_pauli_z +  62.909 F_torsion,-0.107 x +  0.029 y +  0.100 r + -4.345 1/r^3 +  0.897 m0/gamma + -0.085 F_pauli_x +  0.308 F_pauli_y + -0.080 F_pauli_z, 521768.812 1 + -312377.438 x +  134680.641 y +  40386.570 z +  331257.438 r +  529654.312 hue + -393.937 gamma +  521764.656 m0 + -26520.646 1/r^3 +  443264.031 sin(hue) +  275245.938 cos(hue) +  455524.344 m0/gamma +  2055.601 K_sync + -606074.625 F_pauli_x +  876094.125 F_pauli_y + -190938.688 F_pauli_z + -1041.910 F_torsion, 0.000
